,id,target,ndvi,VH04-10,VH04-22,VH05-04,VH05-16,VH05-28,VH06-09,VH06-21,VH07-03,VH07-15,VH07-27
0,070901805090075819,0,0.5940192632377148,-19.939718513144395,-17.660344584065356,-17.28641283983144,-18.201797508349898,-15.880314445984636,-13.88808135682764,-11.562167704928873,-14.459887829670574,-14.995641288685926,-16.05409288708092
1,070901805910075743,0,0.5939959127988134,-21.184791198603744,-19.156381667758406,-18.137983577506652,-19.47265020243786,-17.58224756874872,-13.758551364044575,-16.255679165208203,-15.909975088509935,-18.30670466492676,-17.45045684822269
2,070901806150075762,0,0.5994564684537741,-24.243554676190186,-20.990855482090033,-17.430274926943625,-22.067058932687885,-19.035401008752725,-16.29167337734921,-16.90865472931922,-18.13973016898191,-18.394462697359177,-18.21196602505045
3,070901806600075803,0,0.4399261623620987,-21.591713222207467,-23.90606545618515,-18.113276536117493,-21.501491938955,-21.08351225644207,-16.253473884763363,-16.547014504679463,-17.060994021432727,-18.83196647387134,-20.368634137501957
4,070901807410075880,0,0.4992266893386841,-20.33069317434225,-22.565995099236858,-20.088782323820226,-20.76693221747685,-20.016019460016306,-15.702273471560474,-15.553714531317095,-18.199600483593223,-18.178021167608634,-19.24703522756084
5,070901807630075899,0,0.5273109823465347,-21.677344446116642,-22.10919328984527,-17.24145548491653,-21.95936424291573,-19.261075527769083,-16.89087598295422,-17.616941514072302,-17.90322475834334,-18.9999659578025,-19.81720534114107
6,070901807970075919,0,0.5285737361456897,-21.371174888896366,-21.047545725541266,-17.34451998614798,-20.09212827312773,-20.040505709906736,-15.96406706100177,-16.858167557844194,-16.667558754199923,-18.794228292435395,-18.36102818080549
7,070901808330075825,0,0.5901647523829812,-21.981859722706478,-21.8075535640402,-16.877442609883687,-21.0053295291002,-20.00405669429104,-15.065203405156199,-18.02382464923689,-18.816728826678663,-17.392285700114797,-18.845232748186643
8,070901808470075851,0,0.5570109970867634,-20.370890974995,-20.94216509550486,-17.796114172017017,-21.225987419136946,-21.0589927963029,-16.78669272645232,-14.668259242120632,-18.64847563176193,-18.170025627435468,-16.864964124765905
9,070901808560075883,0,0.5203587561845779,-22.524409599763295,-22.710648819118376,-18.211804088125596,-19.22322918029389,-18.421435690405932,-13.311301507318941,-15.5234669569504,-18.849731599988782,-18.58074463996413,-17.657857500688635
10,070901808870075726,0,0.5184361647282328,-21.61400693500959,-21.57023125202568,-17.107549598154346,-19.49155542381125,-20.82862658456633,-14.82216370368031,-16.28174306036691,-17.827660952125836,-19.25615334691872,-18.08482899509981
11,070901809050075747,0,0.5817659519336842,-22.23453013156022,-21.815482361008705,-18.22349124721392,-20.04050833640611,-21.789817078781045,-17.138276030361087,-16.73246534461817,-18.74100242866729,-18.799453800281338,-19.503954980225476
12,070901809150075771,0,0.5495563521981239,-21.82641762852526,-19.990087156098927,-17.066998043280137,-18.777394310417968,-20.940918527870892,-16.897159351823593,-16.759453526024203,-16.46865100790667,-16.507100491841037,-18.734055833107604
13,070901809330074981,0,0.5123484153300524,-20.28207307983593,-19.27706703538236,-15.177044357787853,-18.63445802227996,-18.993913065501516,-14.965858838126596,-15.232822155761964,-14.349213494147525,-16.33563338277806,-14.056841362317973
14,070901810330074690,0,0.41526302695274353,-17.879189545321225,-21.511703789151465,-17.37246463018209,-17.26509893864905,-18.10775463409896,-16.49592520138693,-16.21439726773831,-16.923256881273453,-18.06042372829592,-17.57127927652616
15,070901810410074748,0,0.22759323085055633,-19.669794801094675,-23.59656156558123,-21.595139247763733,-20.437325378295046,-21.744034383930053,-16.396564248258198,-19.27646997749845,-18.51815496051637,-18.173704373640817,-19.668649635144824
16,070901810780074706,0,0.37423863049064365,-20.485797711069516,-21.027180536135194,-18.428818186475524,-17.804228896343634,-20.177954173237836,-16.184021880803567,-17.586958953817824,-19.65406401799944,-17.554099307254972,-19.643699326668383
17,070901810890075543,0,0.3650140448620445,-24.233837210937384,-20.04774056672367,-16.922853413741,-18.7398123711275,-18.17415974214525,-18.746201729383138,-15.498317837396007,-16.386515745438643,-17.523030546260678,-17.575600829492487
18,070901810970075499,0,0.6342592172084316,-20.66634867944015,-21.564741267527403,-18.857523863725817,-20.141141388373338,-18.456300763822103,-17.543876022071597,-16.325743249646752,-16.12197221145426,-17.91450820201907,-18.071393960306345
19,070901810980080013,0,0.4388605415821075,-15.730697784168527,-19.839192320452156,-17.199808640331035,-19.606378898220047,-22.05513005234684,-16.603186566789347,-17.396835421396858,-16.438204328907965,-17.072968217777763,-16.539183859417243
20,070901811030079974,0,0.5813899914423625,-19.08891537180532,-18.810713378010586,-17.38713815352329,-19.751331234839444,-21.698436482009395,-13.534709569370392,-15.234883377178669,-17.980024397285167,-16.618028769561203,-17.696724285567136
21,070901811150074654,0,0.4560774544874827,-19.02850150185953,-18.972213489634967,-18.0034887006883,-18.360112754405215,-16.619605194080627,-17.46709457912333,-16.242122981183908,-17.071538126612804,-16.238534960374988,-17.303282649167297
22,070901811160080006,0,0.5622484087944031,-19.486550438028797,-20.53150996903268,-16.950163148646993,-19.291403280095516,-17.404187901671982,-16.05216293128761,-18.38532661215115,-19.743188039963492,-15.700392555360438,-18.290897630386123
23,070901811410079963,0,0.5596554478009542,-19.231270586067897,-21.458498114754306,-18.988409311442144,-22.99377898177341,-21.20209289180862,-14.685365350773715,-16.011676317978978,-18.44567508036277,-19.5279394106361,-18.76204309721555
24,070901811420080000,0,0.5649156123399734,-20.335083352133037,-21.887247378202066,-18.595526857005467,-20.834428091756447,-20.173365920874264,-14.683541044211703,-17.00006708360254,-20.30649528249087,-18.086463168022522,-19.93878852301934
25,070901811650079967,0,0.48609551042318344,-20.246217011963456,-23.71290719788857,-18.945944273524535,-19.049737098250198,-18.766215816379546,-15.776579625202249,-14.899426467285423,-19.026640530957152,-19.38700867634933,-19.374982239569338
26,070901811930074355,0,0.5672587837491717,-20.151747868023016,-20.504823826977397,-17.261162338992808,-20.51077255350462,-19.41964033190192,-18.91774930255872,-15.933599113545158,-17.83937281151271,-19.08534464208192,-17.75434103347411
27,070901811930079976,0,0.5865378921682184,-20.805769689868953,-22.90352541900774,-19.971449762508424,-19.25686017459233,-19.489224616728738,-18.548636335584778,-18.481893280047327,-21.559667638264326,-20.609894043638413,-19.355650289285087
28,070901811940074323,0,0.292239925927586,-19.305081017274112,-17.60423210410787,-15.214354568669858,-17.286176833604312,-18.14970645981693,-15.511205101105386,-13.455791645042625,-13.722294122484291,-19.585659694451024,-17.376275641673196
29,070901812020074447,0,0.2646171959737937,-16.965587564252072,-20.16117954799496,-14.595219295034676,-17.572017689229142,-16.520344631992856,-12.978048085002808,-13.449657345119647,-14.265460188655089,-14.094624690111337,-15.056538007773693
30,070901812040074386,0,0.534751083701849,-18.1881295661738,-18.969329734035604,-18.871996881302998,-20.95601460001318,-20.017431505257434,-14.301994142783446,-16.575989513878216,-18.92664148781777,-18.03291683005851,-21.479149535509542
31,070901812070074417,0,0.2928855446251956,-18.603281330975125,-20.601928713068094,-15.409717524831695,-17.413602122894865,-16.727060068125855,-14.935463161035765,-14.744053359614188,-17.06095284071677,-16.838986324361898,-23.567180940223487
32,070901812100074286,0,0.23628730792552233,-14.699592050710075,-18.893421703443487,-14.081517873007607,-16.19074738067323,-15.759584305519482,-15.320817232747075,-12.834618351846986,-14.733060080835834,-16.128858886493227,-17.032531193856826
33,070901812270079982,0,0.533275536515496,-22.69357878580183,-21.7344925999109,-19.79131628982687,-18.44229528228242,-22.741645828560888,-16.944753639480265,-16.943941590839195,-18.04969689945672,-17.871443640570337,-19.642315637642433
34,070901812330074242,0,0.5629118897698142,-17.598251668723265,-19.741840743541236,-16.047871996958154,-15.415873540331223,-19.220838769553193,-14.439105422059603,-15.69045622853512,-15.337555647083757,-13.9621978854829,-15.3959752714623
35,070901812570074188,0,0.5343391746282578,-17.432985994076947,-20.461475304139373,-16.772734430678415,-19.54766087120633,-17.658058023191355,-15.958216014208752,-17.610049459568618,-15.77866074355671,-17.796792073895332,-18.07461834095996
36,070901812830075329,0,0.548766553401947,-20.427333797502886,-26.18198934103163,-14.166823565246796,-17.168236837638222,-17.000104185914058,-17.690089473028237,-16.429725057105127,-17.88089039524416,-18.124934760832904,-16.379873529553468
37,070901812940074161,0,0.5789949633181095,-15.074758185201153,-20.795063261549366,-13.670900554034082,-17.23898134476817,-16.677443822457544,-12.36124547293924,-14.119927379460947,-14.802004182862438,-16.27989086518091,-15.704711356034244
38,070901813090075324,0,0.5398960908253988,-16.598833833107292,-19.37902989926564,-14.659667140425165,-22.464596446236893,-18.18362374584175,-15.163106961404806,-17.147198131656953,-16.25606270865473,-16.303865362515772,-19.41013036652324
39,070901813190079992,0,0.4276396842563854,-19.156038070138433,-20.814287319520687,-18.464875907101817,-19.84924262540434,-23.292078032953167,-15.965284414445977,-16.642373806708967,-17.51460540100559,-18.801649747910275,-19.39283629141824
40,070901813290074150,0,0.5796074867248535,-12.594298874036703,-18.958573736657044,-16.802840243999658,-14.265336064679811,-16.27294769875706,-13.419282130609616,-11.856690649151117,-13.454895707311223,-15.556093562200678,-17.578264576047484
41,070901813650079978,0,0.38461315631866455,-21.116827094878623,-16.833746772968055,-16.44791326604873,-15.496291174655633,-16.771377573134068,-13.099308973559308,-14.875836074547067,-16.97812118010159,-15.38871268889618,-16.129657505635777
42,070901813700080000,0,0.32890237867832184,-23.85126161269107,-20.66097746512345,-17.511605548013023,-17.23248377711611,-17.248117103315707,-15.068061108495108,-20.863377049110955,-18.039112409098454,-20.26779610619734,-16.14382963495676
43,070901813710074141,0,0.598370835185051,-16.56741928688337,-18.94595411710664,-16.531729040110026,-18.26985758426191,-17.771713810021247,-12.894020134932873,-16.463507891275178,-15.39620057524589,-15.654111460774269,-17.770495368302328
44,070901813930079980,0,0.395257793366909,-19.94827197244281,-18.76048545049107,-15.397097520630625,-15.582018002780396,-16.27286662923686,-14.864715177087271,-17.62558778815566,-17.03545660166208,-18.25235984387038,-15.161146206435035
45,070901814120079982,0,0.329630845785141,-19.331730506207457,-21.5318557960974,-16.766619914488118,-18.290738385027893,-18.37741619692555,-16.14242408761288,-14.349479607690187,-16.692689097949536,-16.171585405256796,-13.94093591026359
46,070901814200074122,0,0.5706211864948273,-15.054912460109069,-16.019758672350385,-14.753854034909875,-16.186327118016337,-14.780772242891548,-13.729627433918408,-14.880720816336025,-12.446058468203015,-13.65658535620981,-13.6682403248017
47,070901814370079984,0,0.4037918485701084,-20.781065899754925,-21.925399761910374,-18.161385897849218,-19.297175002552247,-19.938768229321823,-17.23262602648104,-16.41194913768697,-18.215058088566387,-18.319364598965034,-19.23088758086484
48,070901814640079989,0,0.4301691512266795,-19.69660129383684,-20.774901806402482,-17.476136728132843,-20.245731607485965,-19.753745583638636,-16.314300384509874,-16.173842137029077,-18.47787977067352,-19.27728598667872,-17.49670653483585
49,070901814880079998,0,0.3913354516029358,-19.798952903083368,-22.62947278499454,-20.199844037590985,-20.252848652531437,-19.60233300765644,-16.787854401200537,-16.510804387653142,-16.911638479236302,-18.308908696673736,-21.57255373119433
50,070901815260080022,0,0.36160794138908386,-21.394546540581917,-22.2638411104204,-19.8228927650634,-22.186126625281368,-18.389104906782414,-18.860291328702324,-15.465002522453638,-16.435700353495825,-18.306974781850467,-17.199772612362377
